code,name,level,parent
C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS,3,C08
C09A,"ACE INHIBITORS, PLAIN",3,C09
C09B,"ACE INHIBITORS, COMBINATIONS",3,C09
C09C,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",3,C09
C09D,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",3,C09
C09X,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,3,C09
C10A,"LIPID MODIFYING AGENTS, PLAIN",3,C10
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",3,C10
D01A,ANTIFUNGALS FOR TOPICAL USE,3,D01
D01B,ANTIFUNGALS FOR SYSTEMIC USE,3,D01
D02A,EMOLLIENTS AND PROTECTIVES,3,D02
D02B,PROTECTIVES AGAINST UV-RADIATION,3,D02
D03A,CICATRIZANTS,3,D03
D03B,ENZYMES,3,D03
D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",3,D04
D05A,ANTIPSORIATICS FOR TOPICAL USE,3,D05
D05B,ANTIPSORIATICS FOR SYSTEMIC USE,3,D05
D06A,ANTIBIOTICS FOR TOPICAL USE,3,D06
D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,3,D06
D06C,"ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS",3,D06
D07A,"CORTICOSTEROIDS, PLAIN",3,D07
D07B,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",3,D07
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",3,D07
D07X,"CORTICOSTEROIDS, OTHER COMBINATIONS",3,D07
D08A,ANTISEPTICS AND DISINFECTANTS,3,D08
D09A,MEDICATED DRESSINGS,3,D09
D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,3,D10
D10B,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,3,D10
D11A,OTHER DERMATOLOGICAL PREPARATIONS,3,D11
G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",3,G01
G01B,ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS,3,G01
G02A,UTEROTONICS,3,G02
G02B,CONTRACEPTIVES FOR TOPICAL USE,3,G02
G02C,OTHER GYNECOLOGICALS,3,G02
G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,3,G03
G03B,ANDROGENS,3,G03
G03C,ESTROGENS,3,G03
G03D,PROGESTOGENS,3,G03
G03E,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,3,G03
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,3,G03
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,3,G03
G03H,ANTIANDROGENS,3,G03
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,3,G03
G04B,UROLOGICALS,3,G04
G04C,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,3,G04
H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,3,H01
H01B,POSTERIOR PITUITARY LOBE HORMONES,3,H01
H01C,HYPOTHALAMIC HORMONES,3,H01
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",3,H02
H02B,"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",3,H02
H02C,ANTIADRENAL PREPARATIONS,3,H02
H03A,THYROID PREPARATIONS,3,H03
H03B,ANTITHYROID PREPARATIONS,3,H03
H03C,IODINE THERAPY,3,H03
H04A,GLYCOGENOLYTIC HORMONES,3,H04
H05A,PARATHYROID HORMONES AND ANALOGUES,3,H05
H05B,ANTI-PARATHYROID AGENTS,3,H05
J01A,TETRACYCLINES,3,J01
J01B,AMPHENICOLS,3,J01
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",3,J01
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,3,J01
J01E,SULFONAMIDES AND TRIMETHOPRIM,3,J01
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",3,J01
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,3,J01
J01M,QUINOLONE ANTIBACTERIALS,3,J01
J01R,COMBINATIONS OF ANTIBACTERIALS,3,J01
J01X,OTHER ANTIBACTERIALS,3,J01
J02A,ANTIMYCOTICS FOR SYSTEMIC USE,3,J02
J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS,3,J04
J04B,DRUGS FOR TREATMENT OF LEPRA,3,J04
J05A,DIRECT ACTING ANTIVIRALS,3,J05
J06A,IMMUNE SERA,3,J06
J06B,IMMUNOGLOBULINS,3,J06
J07A,BACTERIAL VACCINES,3,J07
J07B,VIRAL VACCINES,3,J07
J07C,"BACTERIAL AND VIRAL VACCINES, COMBINED",3,J07
J07X,OTHER VACCINES,3,J07
L01A,ALKYLATING AGENTS,3,L01
L01B,ANTIMETABOLITES,3,L01
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,3,L01
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,3,L01
L01E,PROTEIN KINASE INHIBITORS,3,L01
L01X,OTHER ANTINEOPLASTIC AGENTS,3,L01
L02A,HORMONES AND RELATED AGENTS,3,L02
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,3,L02
L03A,IMMUNOSTIMULANTS,3,L03
L04A,IMMUNOSUPPRESSANTS,3,L04
M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",3,M01
M01B,ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION,3,M01
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,3,M01
M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,3,M02
M03A,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",3,M03
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",3,M03
M03C,"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS",3,M03
M04A,ANTIGOUT PREPARATIONS,3,M04
M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,3,M05
M09A,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,3,M09
N01A,"ANESTHETICS, GENERAL",3,N01
N01B,"ANESTHETICS, LOCAL",3,N01
N02A,OPIOIDS,3,N02
N02B,OTHER ANALGESICS AND ANTIPYRETICS,3,N02
N02C,ANTIMIGRAINE PREPARATIONS,3,N02
N03A,ANTIEPILEPTICS,3,N03
N04A,ANTICHOLINERGIC AGENTS,3,N04
N04B,DOPAMINERGIC AGENTS,3,N04
N04C,OTHER ANTIPARKINSON DRUGS,3,N04
N05A,ANTIPSYCHOTICS,3,N05
N05B,ANXIOLYTICS,3,N05
N05C,HYPNOTICS AND SEDATIVES,3,N05
N06A,ANTIDEPRESSANTS,3,N06
N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",3,N06
N06C,PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,3,N06
N06D,ANTI-DEMENTIA DRUGS,3,N06
N07A,PARASYMPATHOMIMETICS,3,N07
N07B,DRUGS USED IN ADDICTIVE DISORDERS,3,N07
N07C,ANTIVERTIGO PREPARATIONS,3,N07
N07X,OTHER NERVOUS SYSTEM DRUGS,3,N07
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,3,P01
P01B,ANTIMALARIALS,3,P01
P01C,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,3,P01
P02B,ANTITREMATODALS,3,P02
P02C,ANTINEMATODAL AGENTS,3,P02
P02D,ANTICESTODALS,3,P02
P03A,"ECTOPARASITICIDES, INCL. SCABICIDES",3,P03
P03B,INSECTICIDES AND REPELLENTS,3,P03
R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,3,R01
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,3,R01
R02A,THROAT PREPARATIONS,3,R02
R03A,"ADRENERGICS, INHALANTS",3,R03
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",3,R03
R03C,ADRENERGICS FOR SYSTEMIC USE,3,R03
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,3,R03
R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",3,R05
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",3,R05
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",3,R05
R05X,OTHER COLD PREPARATIONS,3,R05
R06A,ANTIHISTAMINES FOR SYSTEMIC USE,3,R06
R07A,OTHER RESPIRATORY SYSTEM PRODUCTS,3,R07
S01A,ANTIINFECTIVES,3,S01
S01B,ANTIINFLAMMATORY AGENTS,3,S01
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,3,S01
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,3,S01
S01F,MYDRIATICS AND CYCLOPLEGICS,3,S01
S01G,DECONGESTANTS AND ANTIALLERGICS,3,S01
S01H,LOCAL ANESTHETICS,3,S01
S01J,DIAGNOSTIC AGENTS,3,S01
S01K,SURGICAL AIDS,3,S01
S01L,OCULAR VASCULAR DISORDER AGENTS,3,S01
S01X,OTHER OPHTHALMOLOGICALS,3,S01
S02A,ANTIINFECTIVES,3,S02
S02B,CORTICOSTEROIDS,3,S02
S02C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,3,S02
S02D,OTHER OTOLOGICALS,3,S02
S03A,ANTIINFECTIVES,3,S03
S03B,CORTICOSTEROIDS,3,S03
S03C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,3,S03
S03D,OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,3,S03
V01A,ALLERGENS,3,V01
V03A,ALL OTHER THERAPEUTIC PRODUCTS,3,V03
V04B,URINE TESTS,3,V04
V04C,OTHER DIAGNOSTIC AGENTS,3,V04
V06A,DIET FORMULATIONS FOR TREATMENT OF OBESITY,3,V06
V06B,PROTEIN SUPPLEMENTS,3,V06
V06C,INFANT FORMULAS,3,V06
V06D,OTHER NUTRIENTS,3,V06
V07A,ALL OTHER NON-THERAPEUTIC PRODUCTS,3,V07
V08A,"X-RAY CONTRAST MEDIA, IODINATED",3,V08
V08B,"X-RAY CONTRAST MEDIA, NON-IODINATED",3,V08
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,3,V08
V08D,ULTRASOUND CONTRAST MEDIA,3,V08
V09A,CENTRAL NERVOUS SYSTEM,3,V09
V09B,SKELETON,3,V09
V09C,RENAL SYSTEM,3,V09
V09D,HEPATIC AND RETICULO ENDOTHELIAL SYSTEM,3,V09
V09E,RESPIRATORY SYSTEM,3,V09
V09F,THYROID,3,V09
V09G,CARDIOVASCULAR SYSTEM,3,V09
V09H,INFLAMMATION AND INFECTION DETECTION,3,V09
V09I,TUMOUR DETECTION,3,V09
V09X,OTHER DIAGNOSTIC RADIOPHARMACEUTICALS,3,V09
V10A,ANTIINFLAMMATORY AGENTS,3,V10
V10B,PAIN PALLIATION (BONE SEEKING AGENTS),3,V10
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,3,V10
A01AA,Caries prophylactic agents,4,A01A
A01AB,Antiinfectives and antiseptics for local oral treatment,4,A01A
A01AC,Corticosteroids for local oral treatment,4,A01A
A01AD,Other agents for local oral treatment,4,A01A
A02AA,Magnesium compounds,4,A02A
A02AB,Aluminium compounds,4,A02A
A02AC,Calcium compounds,4,A02A
A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",4,A02A
A02AF,Antacids with antiflatulents,4,A02A
A02AG,Antacids with antispasmodics,4,A02A
A02AH,Antacids with sodium bicarbonate,4,A02A
A02AX,"Antacids, other combinations",4,A02A
A02BA,H2-receptor antagonists,4,A02B
A02BB,Prostaglandins,4,A02B
A02BC,Proton pump inhibitors,4,A02B
A02BD,Combinations for eradication of Helicobacter pylori,4,A02B
A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),4,A02B
A03AA,"Synthetic anticholinergics, esters with tertiary amino group",4,A03A
A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",4,A03A
A03AC,"Synthetic antispasmodics, amides with tertiary amines",4,A03A
A03AD,Papaverine and derivatives,4,A03A
A03AE,Serotonin receptor antagonists,4,A03A
A03AX,Other drugs for functional gastrointestinal disorders,4,A03A
A03BA,"Belladonna alkaloids, tertiary amines",4,A03B
A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",4,A03B
A03CA,Synthetic anticholinergic agents in combination with psycholeptics,4,A03C
A03CB,Belladonna and derivatives in combination with psycholeptics,4,A03C
A03CC,Other antispasmodics in combination with psycholeptics,4,A03C
A03DA,Synthetic anticholinergic agents in combination with analgesics,4,A03D
A03DB,Belladonna and derivatives in combination with analgesics,4,A03D
A03DC,Other antispasmodics in combination with analgesics,4,A03D
A03EA,"Antispasmodics, psycholeptics and analgesics in combination",4,A03E
A03ED,Antispasmodics in combination with other drugs,4,A03E
A03FA,Propulsives,4,A03F
A04AA,Serotonin (5HT3) antagonists,4,A04A
A04AD,Other antiemetics,4,A04A
A05AA,Bile acids and derivatives,4,A05A
A05AB,Preparations for biliary tract therapy,4,A05A
A05AX,Other drugs for bile therapy,4,A05A
A05BA,Liver therapy,4,A05B
A06AA,"Softeners, emollients",4,A06A
A06AB,Contact laxatives,4,A06A
A06AC,Bulk-forming laxatives,4,A06A
A06AD,Osmotically acting laxatives,4,A06A
A06AG,Enemas,4,A06A
A06AH,Peripheral opioid receptor antagonists,4,A06A
A06AX,Other drugs for constipation,4,A06A
A07AA,Antibiotics,4,A07A
A07AB,Sulfonamides,4,A07A
A07AC,Imidazole derivatives,4,A07A
A07AX,Other intestinal antiinfectives,4,A07A
A07BA,Charcoal preparations,4,A07B
A07BB,Bismuth preparations,4,A07B
A07BC,Other intestinal adsorbents,4,A07B
A07CA,Oral rehydration salt formulations,4,A07C
A07DA,Antipropulsives,4,A07D
A07EA,Corticosteroids acting locally,4,A07E
A07EB,"Antiallergic agents, excl. corticosteroids",4,A07E
A07EC,Aminosalicylic acid and similar agents,4,A07E
A07FA,Antidiarrheal microorganisms,4,A07F
A07XA,Other antidiarrheals,4,A07X
A08AA,Centrally acting antiobesity products,4,A08A
A08AB,Peripherally acting antiobesity products,4,A08A
A08AX,Other antiobesity drugs,4,A08A
A09AA,Enzyme preparations,4,A09A
A09AB,Acid preparations,4,A09A
A09AC,"Enzyme and acid preparations, combinations",4,A09A
A10AB,"Insulins and analogues for injection, fast-acting",4,A10A
A10AC,"Insulins and analogues for injection, intermediate-acting",4,A10A
A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",4,A10A
A10AE,"Insulins and analogues for injection, long-acting",4,A10A
A10AF,Insulins and analogues for inhalation,4,A10A
A10BA,Biguanides,4,A10B
A10BB,Sulfonylureas,4,A10B
A10BC,Sulfonamides (heterocyclic),4,A10B
A10BD,Combinations of oral blood glucose lowering drugs,4,A10B
A10BF,Alpha glucosidase inhibitors,4,A10B
A10BG,Thiazolidinediones,4,A10B
A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,4,A10B
A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,4,A10B
A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,4,A10B
A10BX,"Other blood glucose lowering drugs, excl. insulins",4,A10B
A10XA,Aldose reductase inhibitors,4,A10X
A11AA,Multivitamins with minerals,4,A11A
A11AB,"Multivitamins, other combinations",4,A11A
A11BA,"Multivitamins, plain",4,A11B
A11CA,"Vitamin A, plain",4,A11C
A11CB,Vitamin A and D in combination,4,A11C
A11CC,Vitamin D and analogues,4,A11C
A11DA,"Vitamin B1, plain",4,A11D
A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,4,A11D
